Rank,Pokemon,Dex,Type1,Type2,Fast Move,Fast Move Type,Charged Move,Charged Move Type,DPS,TDO,ER,CP,Shadow,Mega
753,Shadow Purugly,432,normal,none,Scratch,normal,Play Rough,fairy,12.45,201,24.96,1953,true,false
754,Hisuian Avalugg,713,ice,rock,Bite,dark,Blizzard,ice,12.44,505,31.39,3457,false,false
755,Shadow Drilbur,529,ground,none,Mud Slap,ground,Drill Run,ground,12.44,122,22.02,1376,true,false
756,Seismitoad,537,ground,water,Bubble,water,Earth Power,ground,12.43,353,28.68,2564,false,false
757,Indeedee (Female),876,normal,psychic,Extrasensory,psychic,Psychic,psychic,12.42,321,28.00,2397,false,false
758,Deoxys (Speed Forme),386,psychic,none,Zen Headbutt,psychic,Thunderbolt,electric,12.40,305,27.61,2879,false,false
759,Duosion,578,psychic,none,Zen Headbutt,psychic,Psyshock,psychic,12.39,181,24.22,2018,false,false
760,Shadow Mightyena,262,dark,none,Bite,dark,Play Rough,fairy,12.38,197,24.73,1926,true,false
761,Shadow Braixen,654,fire,none,Ember,fire,Flamethrower,fire,12.38,174,23.98,1813,true,false
762,Shadow Alolan Grimer,88,dark,poison,Poison Jab,poison,Sludge Bomb,poison,12.37,154,23.24,1374,true,false
763,Shadow Grimer,88,poison,none,Poison Jab,poison,Sludge Bomb,poison,12.37,154,23.24,1374,true,false
764,Shadow Dragonair,148,dragon,none,Dragon Breath,dragon,Dragon Pulse,dragon,12.37,183,24.27,1780,true,false
765,Grapploct,853,fighting,none,Rock Smash,fighting,Superpower,fighting,12.36,311,27.68,2664,false,false
766,Gourgeist - Super Size,711,ghost,grass,Razor Leaf,grass,Shadow Ball,ghost,12.36,393,29.34,2633,false,false
767,Shadow Golbat,42,flying,poison,Wing Attack,flying,Shadow Ball,ghost,12.35,231,25.68,1976,true,false
768,Falinks,870,fighting,none,Counter,fighting,Superpower,fighting,12.35,282,26.99,2357,false,false
769,Pelipper,279,flying,water,Wing Attack,flying,Weather Ball Water,water,12.33,275,26.80,2127,false,false
770,Lunatone,337,psychic,rock,Psywave,psychic,Psychic,psychic,12.32,319,27.80,2327,false,false
771,Solrock,338,psychic,rock,Psywave,psychic,Psychic,psychic,12.32,319,27.80,2327,false,false
772,Galarian Mr. Mime,122,ice,psychic,Confusion,psychic,Psychic,psychic,12.32,239,25.86,2068,false,false
773,Shadow Marshtomp,259,ground,water,Water Gun,water,Surf,water,12.31,197,24.63,1776,true,false
774,Carracosta,565,rock,water,Rock Throw,rock,Surf,water,12.31,351,28.46,2621,false,false
775,Stoutland,508,normal,none,Lick,ghost,Wild Charge,electric,12.29,358,28.54,2827,false,false
776,Mothim,414,bug,flying,Bug Bite,bug,Bug Buzz,bug,12.28,180,24.04,1815,false,false
777,Politoed,186,water,none,Bubble,water,Weather Ball Water,water,12.26,367,28.67,2449,false,false
778,Snorlax,143,normal,none,Lick,ghost,Hyper Beam,normal,12.26,540,31.59,3225,false,false
779,Gumshoos,735,normal,none,Bite,dark,Hyper Fang,normal,12.26,239,25.75,2185,false,false
780,Rufflet,627,flying,normal,Wing Attack,flying,Fly,flying,12.24,178,23.90,1491,false,false
781,Dragalge,691,dragon,poison,Dragon Tail,dragon,Sludge Bomb,poison,12.23,335,27.98,2383,false,false
782,Sawsbuck,586,grass,normal,Feint Attack,dark,Solar Beam,grass,12.23,280,26.75,2416,false,false
783,Shadow Mawile,303,fairy,steel,Fairy Wind,fairy,Play Rough,fairy,12.23,168,23.53,1634,true,false
784,Drakloak,886,dragon,ghost,Dragon Tail,dragon,Shadow Ball,ghost,12.23,187,24.19,1651,false,false
785,Shadow Dugtrio,51,ground,none,Mud Slap,ground,Mud Bomb,ground,12.19,134,22.20,1567,true,false
786,Ludicolo,272,grass,water,Bubble,water,Weather Ball Water,water,12.19,331,27.82,2323,false,false
787,Shadow Zweilous,634,dark,dragon,Bite,dark,Dragon Pulse,dragon,12.17,202,24.55,1839,true,false
788,Shadow Altaria,334,dragon,flying,Dragon Breath,dragon,Sky Attack,flying,12.16,298,27.06,2004,true,false
789,Cursola,864,ghost,none,Tackle,normal,Night Shade,ghost,12.16,283,26.70,3063,false,false
790,Slowbro,80,psychic,water,Confusion,psychic,Psychic,psychic,12.14,379,28.70,2545,false,false
791,Slowking,199,psychic,water,Confusion,psychic,Psychic,psychic,12.14,379,28.70,2545,false,false
792,Gorebyss,368,water,none,Water Gun,water,Psychic,psychic,12.14,263,26.18,2494,false,false
793,Shadow Nidorino,33,poison,none,Poison Jab,poison,Sludge Bomb,poison,12.12,151,22.77,1393,true,false
794,Cranidos,408,rock,none,Zen Headbutt,psychic,Ancient Power,rock,12.12,132,22.00,1820,false,true
795,Shadow Hypno,97,psychic,none,Confusion,psychic,Psychic,psychic,12.12,311,27.27,2090,true,false
796,Bellibolt,939,electric,none,Thunder Shock,electric,Zap Cannon,electric,12.12,386,28.79,2662,false,false
797,Gourgeist - Large Size,711,ghost,grass,Razor Leaf,grass,Shadow Ball,ghost,12.12,364,28.37,2521,false,false
798,Ninetales,38,fire,none,Fire Spin,fire,Weather Ball Fire,fire,12.11,331,27.69,2279,false,false
799,Cloyster,91,ice,water,Frost Breath,ice,Razor Shell,water,12.11,346,28.00,2547,false,false
800,Sunflora,192,grass,none,Razor Leaf,grass,Solar Beam,grass,12.11,247,25.74,2141,false,false
801,Florges,671,fairy,none,Vine Whip,grass,Psychic,psychic,12.10,437,29.66,3234,false,false
802,Nidoqueen,31,ground,poison,Poison Jab,poison,Earth Power,ground,12.10,350,28.07,2488,false,false
803,Arctibax,997,dragon,ice,Dragon Breath,dragon,Avalanche,ice,12.09,266,26.19,2092,false,false
804,Kubfu,891,fighting,none,Counter,fighting,Dynamic Punch,fighting,12.08,181,23.77,1697,false,false
805,Shadow Pikipek,731,flying,normal,Peck,flying,Sky Attack,flying,12.06,65,18.38,910,true,false
806,Wailord,321,water,none,Water Gun,water,Surf,water,12.06,309,27.14,2280,false,false
807,Perrserker,863,steel,none,Metal Claw,steel,Iron Head,steel,12.06,277,26.40,2386,false,false
808,Galarian Slowking,199,poison,psychic,Confusion,psychic,Future Sight,psychic,12.05,377,28.50,2717,false,false
809,Magmar,126,fire,none,Karate Chop,fighting,Flamethrower,fire,12.05,252,25.76,2394,false,false
810,Shadow Quagsire,195,ground,water,Water Gun,water,Earthquake,ground,12.05,254,25.83,1992,true,false
811,Drapion,452,dark,poison,Bite,dark,Sludge Bomb,poison,12.05,339,27.75,2453,false,false
812,Articuno,144,flying,ice,Frost Breath,ice,Triple Axel,ice,12.05,466,30.04,3051,false,false
813,Archen,566,flying,rock,Wing Attack,flying,Dragon Claw,dragon,12.04,140,22.23,1842,false,false
814,Beautifly,267,bug,flying,Infestation,bug,Bug Buzz,bug,12.04,161,23.00,1765,false,false
815,Shadow Darumaka,554,fire,none,Fire Fang,fire,Fire Punch,fire,12.02,131,21.86,1442,true,false
816,Spiritomb,442,dark,ghost,Sucker Punch,dark,Shadow Ball,ghost,12.02,271,26.20,2072,false,false
817,Piloswine,221,ground,ice,Ice Shard,ice,Avalanche,ice,12.01,306,26.99,2345,false,false
818,Alolan Sandslash,28,ice,steel,Metal Claw,steel,Blizzard,ice,12.01,343,27.77,2432,false,false
819,Shadow Metang,375,psychic,steel,Metal Claw,steel,Psychic,psychic,12.01,226,25.00,1721,true,false
820,Drizzile,817,water,none,Pound,normal,Surf,water,12.00,190,23.93,1894,false,false
821,Milotic,350,water,none,Waterfall,water,Surf,water,12.00,450,29.70,3005,false,false
822,Shadow Combusken,256,fighting,fire,Ember,fire,Flamethrower,fire,11.99,153,22.67,1652,true,false
823,Silvally,773,normal,none,Tackle,normal,Tri-Attack,normal,11.99,409,28.98,2950,false,false
824,Sudowoodo,185,rock,none,Rock Throw,rock,Meteor Beam,rock,11.99,297,26.74,2148,false,false
825,Shadow Lampent,608,fire,ghost,Ember,fire,Flame Burst,fire,11.98,153,22.66,1708,true,false
826,Paldean Tauros - Aqua Breed,128,fighting,water,Double Kick,fighting,Earthquake,ground,11.98,339,27.62,2837,false,false
827,Paldean Tauros - Blaze Breed,128,fighting,fire,Double Kick,fighting,Earthquake,ground,11.98,339,27.62,2837,false,false
828,Cryogonal,615,ice,none,Frost Breath,ice,Triple Axel,ice,11.97,397,28.72,2798,false,false
829,Beedrill,15,bug,poison,Bug Bite,bug,Sludge Bomb,poison,11.97,214,24.62,1846,false,false
830,Glimmet,969,poison,rock,Rock Throw,rock,Rock Slide,rock,11.96,147,22.40,1679,false,false
831,Grovyle,253,grass,none,Quick Attack,normal,Grass Knot,grass,11.95,170,23.22,1673,false,false
832,Rotom,479,electric,ghost,Thunder Shock,electric,Thunderbolt,electric,11.95,219,24.73,2031,false,false
833,Corviknight,823,flying,steel,Steel Wing,steel,Sky Attack,flying,11.92,404,28.77,2457,false,false
834,Stantler,234,normal,none,Tackle,normal,Wild Charge,electric,11.91,232,25.01,2164,false,false
835,Gothitelle,576,psychic,none,Confusion,psychic,Psychic,psychic,11.90,340,27.51,2419,false,false
836,Sandslash,28,ground,none,Sand Attack,ground,Scorching Sands,ground,11.90,307,26.82,2374,false,false
837,Shadow Gabite,444,dragon,ground,Mud Shot,ground,Dig,ground,11.88,177,23.34,1874,true,false
838,Clefable,36,fairy,none,Fairy Wind,fairy,Meteor Mash,steel,11.88,337,27.42,2437,false,false
839,Shadow Anorith,347,bug,rock,Scratch,normal,Ancient Power,rock,11.88,113,20.86,1529,true,false
840,Gliscor,472,flying,ground,Sand Attack,ground,Earthquake,ground,11.87,383,28.28,2692,false,false
841,Eiscue (Noice Face),875,ice,none,Powder Snow,ice,Weather Ball Ice,ice,11.87,249,25.39,2040,false,false
842,Pidgeot,18,flying,normal,Wing Attack,flying,Brave Bird,flying,11.86,292,26.42,2129,false,false
843,Dusknoir,477,ghost,none,Hex,ghost,Shadow Ball,ghost,11.84,316,26.92,2388,false,false
844,Shadow Porygon,137,normal,none,Tackle,normal,Hyper Beam,normal,11.84,184,23.51,1720,true,false
845,Liepard,510,dark,none,Snarl,dark,Dark Pulse,dark,11.84,176,23.24,1846,false,false
846,Shadow Cresselia,488,psychic,none,Confusion,psychic,Future Sight,psychic,11.82,513,30.35,2857,true,false
847,Hisuian Zorua,570,ghost,normal,Scratch,normal,Shadow Ball,ghost,11.82,97,20.01,1203,false,false
848,Gourgeist - Average Size,711,ghost,grass,Razor Leaf,grass,Shadow Ball,ghost,11.81,333,27.20,2390,false,false
849,Golduck,55,water,none,Water Gun,water,Hydro Pump,water,11.80,297,26.44,2450,false,false
850,Shadow Monferno,391,fighting,fire,Ember,fire,Flamethrower,fire,11.80,145,22.09,1574,true,false
851,Froslass,478,ghost,ice,Hex,ghost,Shadow Ball,ghost,11.79,253,25.37,2040,false,false
852,Mega Mawile,303,fairy,steel,Fairy Wind,fairy,Play Rough,fairy,11.79,289,26.22,2380,false,true
853,Shadow Vigoroth,288,normal,none,Scratch,normal,Body Slam,normal,11.79,224,24.60,1968,true,false
854,Shadow Houndour,228,dark,fire,Feint Attack,dark,Flamethrower,fire,11.78,96,19.88,1234,true,false
855,Staravia,397,flying,normal,Quick Attack,normal,Fly,flying,11.75,143,21.95,1299,false,false
856,Hitmonchan,107,fighting,none,Counter,fighting,Close Combat,fighting,11.71,262,25.47,2332,false,false
857,Grumpig,326,psychic,none,Psywave,psychic,Psychic,psychic,11.71,338,27.14,2369,false,false
858,Alolan Ninetales,38,fairy,ice,Charm,fairy,Weather Ball Ice,ice,11.69,324,26.82,2309,false,false
859,Xatu,178,flying,psychic,Air Slash,flying,Shadow Ball,ghost,11.68,232,24.67,2188,false,false
860,Shadow Dewott,502,water,none,Water Gun,water,Aqua Tail,water,11.68,173,22.92,1741,true,false
861,Lapras,131,ice,water,Water Gun,water,Sparkling Aria,water,11.67,447,29.02,2641,false,false
862,Murkrow,198,dark,flying,Feint Attack,dark,Foul Play,dark,11.65,140,21.71,1562,false,false
863,Parasect,47,bug,grass,Fury Cutter,bug,Solar Beam,grass,11.63,221,24.29,1859,false,false
864,Shadow Gothorita,575,psychic,none,Confusion,psychic,Psychic,psychic,11.63,192,23.46,1604,true,false
865,Venomoth,49,bug,poison,Bug Bite,bug,Bug Buzz,bug,11.62,238,24.74,2082,false,false
866,Vivillon,666,bug,flying,Gust,flying,Bug Buzz,bug,11.62,195,23.52,1855,false,false
867,Diancie,719,fairy,rock,Rock Throw,rock,Rock Slide,rock,11.62,368,27.55,2734,false,false
868,Walrein,365,ice,water,Waterfall,water,Blizzard,ice,11.61,396,28.05,2726,false,false
869,Abra,63,psychic,none,Zen Headbutt,psychic,Shadow Ball,ghost,11.60,84,19.05,1342,false,false
870,Shadow Galarian Linoone,264,dark,normal,Snarl,dark,Grass Knot,grass,11.60,193,23.43,1662,true,false
871,Cacnea,331,grass,none,Sucker Punch,dark,Grass Knot,grass,11.59,109,20.29,1242,false,false
872,Malamar,687,dark,psychic,Psycho Cut,psychic,Foul Play,dark,11.59,311,26.37,2359,false,false
873,Hisuian Sneasel,215,fighting,poison,Poison Jab,poison,Close Combat,fighting,11.59,208,23.86,2051,false,false
874,Thwackey,811,grass,none,Razor Leaf,grass,Grass Knot,grass,11.58,224,24.28,1876,false,false
875,Ferrothorn,598,grass,steel,Metal Claw,steel,Power Whip,grass,11.58,371,27.54,2321,false,false
876,Shadow Quilava,156,fire,none,Ember,fire,Flamethrower,fire,11.56,156,22.17,1653,true,false
877,Klawf,950,rock,none,Rock Throw,rock,Rock Slide,rock,11.55,300,26.06,2403,false,false
878,Shadow Axew,610,dragon,none,Scratch,normal,Dragon Claw,dragon,11.55,112,20.39,1368,true,false
879,Shadow Charjabug,737,bug,electric,Bug Bite,bug,Discharge,electric,11.54,193,23.32,1697,true,false
880,Luxio,404,electric,none,Spark,electric,Wild Charge,electric,11.53,150,21.88,1486,false,false
881,Oranguru,765,normal,psychic,Confusion,psychic,Psychic,psychic,11.52,368,27.38,2450,false,false
882,Komala,775,normal,none,Rollout,rock,Play Rough,fairy,11.51,256,25.00,2582,false,false
883,Wigglytuff,40,fairy,normal,Pound,normal,Hyper Beam,normal,11.51,260,25.10,1926,false,false
884,Shadow Steelix,208,ground,steel,Iron Tail,steel,Heavy Slam,steel,11.51,374,27.48,2414,true,false
885,Weezing,110,poison,none,Acid,poison,Sludge Bomb,poison,11.50,301,26.02,2293,false,false
886,Gourgeist - Small Size,711,ghost,grass,Razor Leaf,grass,Shadow Ball,ghost,11.50,301,26.00,2254,false,false
887,Shadow Flaaffy,180,electric,none,Charge Beam,electric,Thunderbolt,electric,11.50,154,22.00,1521,true,false
888,Shadow Sableye,302,dark,ghost,Shadow Claw,ghost,Foul Play,dark,11.48,152,21.90,1476,true,false
889,Whimsicott,547,fairy,grass,Fairy Wind,fairy,Grass Knot,grass,11.47,259,24.99,2014,false,false
890,Mimikyu,778,fairy,ghost,Shadow Claw,ghost,Play Rough,fairy,11.46,274,25.35,2225,false,false
891,Oricorio (Baile Style),741,fire,flying,Pound,normal,Hurricane,flying,11.45,249,24.73,2333,false,false
892,Oricorio (Pa&#039;u Style),741,flying,psychic,Pound,normal,Hurricane,flying,11.45,249,24.73,2333,false,false
893,Oricorio (Pom-Pom Style),741,electric,flying,Pound,normal,Hurricane,flying,11.45,249,24.73,2333,false,false
894,Oricorio (Sensu Style),741,flying,ghost,Pound,normal,Hurricane,flying,11.45,249,24.73,2333,false,false
895,Meowstic - Female,678,psychic,none,Confusion,psychic,Psychic,psychic,11.43,280,25.43,2124,false,false
896,Meowstic - Male,678,psychic,none,Confusion,psychic,Psychic,psychic,11.43,280,25.43,2124,false,false
897,Pincurchin,871,electric,none,Thunder Shock,electric,Thunderbolt,electric,11.42,208,23.59,1931,false,false
898,Bouffalant,626,normal,none,Mud Shot,ground,Skull Bash,normal,11.42,361,27.07,2797,false,false
899,Shadow Snubbull,209,fairy,none,Bite,dark,Dazzling Gleam,fairy,11.38,112,20.16,1237,true,false
900,Zangoose,335,normal,none,Fury Cutter,bug,Close Combat,fighting,11.38,211,23.61,2418,false,false
901,Appletun,842,dragon,grass,Bullet Seed,grass,Outrage,dragon,11.38,327,26.33,2452,false,false
902,Obstagoon,862,dark,normal,Lick,ghost,Hyper Beam,normal,11.37,374,27.23,2652,false,false
903,Shadow Prinplup,394,water,none,Bubble,water,Hydro Pump,water,11.37,179,22.65,1701,true,false
904,Gastrodon - East Sea,423,ground,water,Mud Slap,ground,Earth Power,ground,11.37,323,26.24,2324,false,false
905,Gastrodon - West Sea,423,ground,water,Mud Slap,ground,Earth Power,ground,11.37,323,26.24,2324,false,false
906,Jellicent,593,ghost,water,Bubble,water,Shadow Ball,ghost,11.36,365,27.06,2338,false,false
907,Seadra,117,water,none,Water Gun,water,Hydro Pump,water,11.36,217,23.76,2093,false,false
908,Floragato,907,grass,none,Leafage,grass,Grass Knot,grass,11.36,193,23.06,1679,false,false
909,Shadow Karrablast,588,bug,none,Fury Cutter,bug,X-Scissor,bug,11.36,102,19.65,1182,true,false
910,Shadow Servine,496,grass,none,Vine Whip,grass,Grass Knot,grass,11.36,186,22.86,1441,true,false
911,Ivysaur,2,grass,poison,Vine Whip,grass,Power Whip,grass,11.35,212,23.59,1699,false,false
912,Bellossom,182,grass,none,Magical Leaf,grass,Leaf Blade,grass,11.35,310,25.95,2281,false,false
913,Shadow Vibrava,329,dragon,ground,Dragon Breath,dragon,Scorching Sands,ground,11.35,114,20.19,1225,true,false
914,Dondozo,977,water,none,Waterfall,water,Surf,water,11.34,497,29.18,2996,false,false
915,Qwilfish,211,poison,water,Water Gun,water,Shadow Ball,ghost,11.34,214,23.64,2051,false,false
916,Pawmo,922,electric,none,Thunder Shock,electric,Wild Charge,electric,11.30,129,20.79,1299,false,false
917,Calyrex,898,grass,psychic,Confusion,psychic,Psychic,psychic,11.30,333,26.33,2278,false,false
918,Type: Null,772,normal,none,Tackle,normal,Tri-Attack,normal,11.29,360,26.84,2664,false,false
919,Cofagrigus,563,ghost,none,Shadow Claw,ghost,Shadow Ball,ghost,11.27,327,26.16,2273,false,false
920,Runerigus,867,ghost,ground,Shadow Claw,ghost,Shadow Ball,ghost,11.27,327,26.16,2273,false,false
921,Shadow Whiscash,340,ground,water,Water Gun,water,Mud Bomb,ground,11.27,261,24.72,2075,true,false
922,Bellsprout,69,grass,poison,Vine Whip,grass,Power Whip,grass,11.24,90,18.91,1033,false,false
923,Throh,538,fighting,none,Low Kick,fighting,Focus Blast,fighting,11.23,375,27.00,2562,false,false
924,Huntail,367,water,none,Water Gun,water,Aqua Tail,water,11.23,243,24.23,2340,false,false
925,Octillery,224,water,none,Water Gun,water,Gunk Shot,poison,11.22,238,24.09,2315,false,false
926,Mudbray,749,ground,none,Mud Slap,ground,Earthquake,ground,11.22,198,22.99,1892,false,false
927,Turtonator,776,dragon,fire,Fire Spin,fire,Overheat,fire,11.22,304,25.60,2223,false,false
928,Regice,378,ice,none,Lock-On,normal,Blizzard,ice,11.20,516,29.19,3122,false,false
929,Shadow Amaura,698,ice,rock,Frost Breath,ice,Weather Ball Ice,ice,11.20,160,21.78,1363,true,false
930,Carvanha,318,dark,water,Bite,dark,Crunch,dark,11.19,60,17.02,1020,false,false
931,Shadow Treecko,252,grass,none,Pound,normal,Grass Knot,grass,11.18,95,19.10,1053,true,false
932,Shadow Bulbasaur,1,grass,poison,Vine Whip,grass,Power Whip,grass,11.17,116,20.07,1115,true,false
933,Shadow Alolan Raticate,20,dark,normal,Quick Attack,normal,Hyper Fang,normal,11.17,214,23.37,1705,true,false
934,Tauros,128,normal,none,Tackle,normal,Earthquake,ground,11.17,301,25.45,2620,false,false
935,Suicune,245,water,none,Water Gun,water,Hydro Pump,water,11.17,465,28.37,2983,false,false
936,Musharna,518,psychic,none,Zen Headbutt,psychic,Future Sight,psychic,11.15,375,26.85,2723,false,false
937,Trapinch,328,ground,none,Sand Attack,ground,Scorching Sands,ground,11.14,103,19.42,1274,false,false
938,Trumbeak,732,flying,normal,Peck,flying,Sky Attack,flying,11.14,143,21.10,1478,false,false
939,Shadow Sealeo,364,ice,water,Water Gun,water,Surf,water,11.14,210,23.22,1714,true,false
940,Cherrim (Overcast Form),421,grass,none,Razor Leaf,grass,Solar Beam,grass,11.13,243,24.04,2048,false,false
941,Cherrim (Sunshine Form),421,grass,none,Razor Leaf,grass,Solar Beam,grass,11.13,243,24.04,2048,false,false
942,Galarian Weezing,110,fairy,poison,Fairy Wind,fairy,Play Rough,fairy,11.12,291,25.16,2293,false,false
943,Shadow Drifloon,425,flying,ghost,Hex,ghost,Shadow Ball,ghost,11.12,136,20.77,1197,true,false
944,Basculin,550,water,none,Water Gun,water,Aqua Tail,water,11.11,208,23.09,2090,false,false
945,Fletchinder,662,fire,flying,Peck,flying,Fly,flying,11.11,167,21.86,1469,false,false
946,Shadow Marowak,105,ground,none,Mud Slap,ground,Earthquake,ground,11.09,219,23.38,1835,true,false
947,Shadow Persian,53,normal,none,Scratch,normal,Foul Play,dark,11.09,172,22.02,1689,true,false
948,Shadow Oddish,43,grass,poison,Acid,poison,Sludge Bomb,poison,11.07,116,19.93,1228,true,false
949,Shadow Stufful,759,fighting,normal,Tackle,normal,Superpower,fighting,11.07,132,20.55,1352,true,false
950,Galarian Farfetch'd,83,fighting,none,Fury Cutter,bug,Brave Bird,flying,11.03,154,21.31,1674,false,false
951,Slurpuff,685,fairy,none,Charm,fairy,Play Rough,fairy,11.02,283,24.81,2199,false,false
952,Shadow Stunky,434,dark,poison,Bite,dark,Sludge Bomb,poison,11.01,117,19.88,1151,true,false
953,Dedenne,702,electric,fairy,Thunder Shock,electric,Play Rough,fairy,11.01,207,22.92,1841,false,false
954,Scrafty,560,dark,fighting,Snarl,dark,Foul Play,dark,10.98,322,25.54,2283,false,false
955,Frogadier,657,water,none,Bubble,water,Surf,water,10.98,156,21.33,1636,false,false
956,Shadow Omanyte,138,rock,water,Water Gun,water,Rock Blast,rock,10.97,134,20.53,1544,true,false
957,Bronzong,437,psychic,steel,Confusion,psychic,Psychic,psychic,10.96,316,25.38,2239,false,false
958,Dudunsparce,982,normal,none,Dragon Tail,dragon,Body Slam,normal,10.95,355,26.13,2739,false,false
959,Paldean Tauros - Combat Breed,128,fighting,none,Tackle,normal,Earthquake,ground,10.94,309,25.22,2837,false,false
960,Chimecho,358,psychic,none,Extrasensory,psychic,Shadow Ball,ghost,10.93,275,24.49,2259,false,false
961,Boldore,525,rock,none,Smack Down,rock,Rock Slide,rock,10.93,224,23.26,2029,false,false
962,Butterfree,12,bug,flying,Bug Bite,bug,Bug Buzz,bug,10.92,196,22.47,1827,false,false
963,Shadow Bayleef,153,grass,none,Magical Leaf,grass,Grass Knot,grass,10.92,183,22.08,1454,true,false
964,Shadow Misdreavus,200,ghost,none,Hex,ghost,Ominous Wind,ghost,10.91,181,22.04,1926,true,false
965,Shadow Starly,396,flying,normal,Quick Attack,normal,Fly,flying,10.91,62,16.86,719,true,false
966,Shadow Mankey,56,fighting,none,Karate Chop,fighting,Brick Break,fighting,10.91,83,18.10,1164,true,false
967,Shadow Registeel,379,steel,none,Metal Claw,steel,Flash Cannon,steel,10.91,388,26.63,2447,true,false
968,Oinkologne (Male),916,normal,none,Tackle,normal,Body Slam,normal,10.90,327,25.49,2608,false,false
969,Kricketune,402,bug,none,Fury Cutter,bug,Bug Buzz,bug,10.88,173,21.71,1653,false,false
970,Electrode,101,electric,none,Volt Switch,electric,Thunderbolt,electric,10.87,241,23.59,2099,false,false
971,Shadow Corvisquire,822,flying,none,Air Slash,flying,Brave Bird,flying,10.86,145,20.74,1363,true,false
972,Tentacruel,73,poison,water,Poison Jab,poison,Hydro Pump,water,10.85,346,25.79,2422,false,false
973,Toedscruel,949,grass,ground,Mud Slap,ground,Earth Power,ground,10.84,346,25.76,2422,false,false
974,Dracovish,882,dragon,water,Dragon Breath,dragon,Dragon Pulse,dragon,10.83,334,25.51,2500,false,false
975,Bibarel,400,normal,water,Water Gun,water,Hyper Fang,normal,10.82,204,22.56,1823,false,false
976,Regirock,377,rock,none,Rock Throw,rock,Stone Edge,rock,10.81,498,28.16,3122,false,false
977,Lairon,305,rock,steel,Metal Claw,steel,Heavy Slam,steel,10.81,272,24.19,2056,false,false
978,Shadow Wailmer,320,water,none,Water Gun,water,Heavy Slam,steel,10.81,152,20.91,1468,true,false
979,Alolan Graveler,75,electric,rock,Rock Throw,rock,Thunderbolt,electric,10.79,216,22.83,1897,false,false
980,Doduo,84,flying,normal,Quick Attack,normal,Brave Bird,flying,10.78,92,18.45,1200,false,false
981,Shadow Alolan Geodude,74,electric,rock,Rock Throw,rock,Thunderbolt,electric,10.78,124,19.84,1293,true,false
982,Shadow Phantump,708,ghost,grass,Tackle,normal,Shadow Ball,ghost,10.77,103,18.94,1123,true,false
983,Boltund,836,electric,none,Spark,electric,Thunder,electric,10.77,202,22.41,2176,false,false
984,Shadow Teddiursa,216,normal,none,Scratch,normal,Play Rough,fairy,10.77,114,19.44,1328,true,false
985,Skarmory,227,flying,steel,Steel Wing,steel,Sky Attack,flying,10.77,321,25.15,2108,false,false
986,Shadow Pupitar,247,ground,rock,Bite,dark,Dig,ground,10.76,172,21.53,1766,true,false
987,Garbodor,569,poison,none,Infestation,bug,Gunk Shot,poison,10.75,274,24.15,2345,false,false
988,Forretress,205,bug,steel,Bug Bite,bug,Heavy Slam,steel,10.75,322,25.14,2282,false,false
989,Glalie,362,ice,none,Frost Breath,ice,Avalanche,ice,10.75,271,24.08,2105,false,false
990,Purugly,432,normal,none,Scratch,normal,Return,normal,10.75,209,22.57,1953,false,false
991,Raticate,20,normal,none,Quick Attack,normal,Hyper Fang,normal,10.75,185,21.90,1730,false,false
992,Veluza,976,psychic,water,Zen Headbutt,psychic,Drill Run,ground,10.75,255,23.72,2436,false,false
993,Plusle,311,electric,none,Spark,electric,Thunderbolt,electric,10.74,183,21.81,1778,false,false
994,Shadow Croagunk,453,fighting,poison,Poison Jab,poison,Sludge Bomb,poison,10.72,84,17.95,952,true,false
995,Shadow Natu,177,flying,psychic,Peck,flying,Drill Peck,flying,10.71,87,18.07,1102,true,false
996,Magnemite,81,electric,steel,Thunder Shock,electric,Thunderbolt,electric,10.70,109,19.12,1362,false,false
997,Lopunny,428,normal,none,Pound,normal,Hyper Beam,normal,10.70,276,24.11,2059,false,false
998,Shadow Shiinotic,756,fairy,grass,Astonish,ghost,Seed Bomb,grass,10.70,193,22.03,1861,true,false
999,Shadow Quilladin,651,grass,none,Vine Whip,grass,Energy Ball,grass,10.70,181,21.69,1719,true,false
1000,Shelgon,372,dragon,none,Dragon Breath,dragon,Dragon Pulse,dragon,10.70,225,22.90,2031,false,false
1001,Dynamax Noctowl,164,flying,normal,Wing Attack,flying,Sky Attack,flying,10.69,304,24.69,2024,false,false
1002,Noctowl,164,flying,normal,Wing Attack,flying,Sky Attack,flying,10.69,304,24.69,2024,false,false
1003,Amoonguss,591,grass,poison,Feint Attack,dark,Grass Knot,grass,10.69,302,24.63,2140,false,false
1004,Sigilyph,561,flying,psychic,Air Slash,flying,Psybeam,psychic,10.68,258,23.67,2550,false,false
1005,Klinklang,601,steel,none,Metal Sound,steel,Hyper Beam,normal,10.68,288,24.34,2637,false,false
1006,Hattrem,857,psychic,none,Confusion,psychic,Psychic,psychic,10.67,180,21.62,1634,false,false
1007,Pignite,499,fighting,fire,Ember,fire,Flamethrower,fire,10.67,199,22.17,1924,false,false
1008,Shadow Tirtouga,564,rock,water,Water Gun,water,Surf,water,10.65,158,20.89,1488,true,false
1009,Aromatisse,683,fairy,none,Charm,fairy,Psychic,psychic,10.63,293,24.36,2341,false,false
1010,Hitmontop,237,fighting,none,Counter,fighting,Close Combat,fighting,10.63,249,23.38,2156,false,false
